array_size,selectionTime,,
1000,3.4,,1
2000,16.3,,2
3000,27.1,,3
4000,59.2,,4
5000,73.2,,5
6000,117.9,,6
7000,149.6,,7
8000,201.2,,8
9000,260.8,,9
10000,322.8,,10
11000,396.5,,11
12000,464.3,,12
13000,548.5,,13
14000,602,,14
15000,732.8,,15
16000,816.3,,16
17000,918.5,,17
18000,1016.1,,18
19000,1162.5,,19
20000,1248.3,,20
21000,1385,,21
22000,1577,,22
23000,1707.8,,23
24000,1857.7,,24
25000,2008.4,,25
26000,2298.4,,26
27000,2478.6,,27
28000,2665.6,,28
29000,2859.4,,29
30000,3060,,30
31000,3267.4,,31
32000,3481.6,,32
33000,3702.6,,33
34000,3930.4,,34
35000,4165,,35
36000,4406.4,,36
37000,4654.6,,37
38000,4909.6,,38
39000,5171.4,,39
40000,5440,,40
41000,5715.4,,41
42000,5997.6,,42
43000,6286.6,,43
44000,6582.4,,44
45000,6885,,45
46000,7194.4,,46
47000,7510.6,,47
48000,7833.6,,48
49000,8163.4,,49
50000,8500,,50
